DATE,UK_INF
7/1/2005,977.84549
8/1/2005,980.30548
9/1/2005,982.76546
10/1/2005,983.99546
11/1/2005,983.99546
12/1/2005,987.68544
1/1/2006,983.99546
2/1/2006,986.45545
3/1/2006,988.91544
4/1/2006,995.06541
5/1/2006,999.98538
6/1/2006,1002.44537
7/1/2006,1002.44537
8/1/2006,1006.13536
9/1/2006,1007.36535
10/1/2006,1008.59535
11/1/2006,1011.05533
12/1/2006,1015.97531
1/1/2007,1009.82534
2/1/2007,1013.51532
3/1/2007,1018.4353
4/1/2007,1022.12528
5/1/2007,1024.58527
6/1/2007,1027.04526
7/1/2007,1022.12528
8/1/2007,1025.81527
9/1/2007,1027.04526
10/1/2007,1030.73524
11/1/2007,1034.42523
12/1/2007,1039.3452
1/1/2008,1034.42523
2/1/2008,1040.5752
3/1/2008,1044.26518
4/1/2008,1052.87514
5/1/2008,1059.02511
6/1/2008,1065.17508
7/1/2008,1065.17508
8/1/2008,1071.32506
9/1/2008,1076.24503
10/1/2008,1073.78504
11/1/2008,1073.78504
12/1/2008,1071.32506
1/1/2009,1065.17508
2/1/2009,1072.55505
3/1/2009,1073.78504
4/1/2009,1076.24503
5/1/2009,1081.16501
6/1/2009,1083.625
7/1/2009,1082.395
8/1/2009,1086.08499
9/1/2009,1086.08499
10/1/2009,1087.31498
11/1/2009,1089.77497
12/1/2009,1093.46495
1/1/2010,1092.23496
2/1/2010,1094.69495
3/1/2010,1099.61493
4/1/2010,1105.7649
5/1/2010,1108.22489
6/1/2010,1109.45488
7/1/2010,1106.99489
8/1/2010,1111.91487
9/1/2010,1111.91487
10/1/2010,1114.37486
11/1/2010,1118.06484
12/1/2010,1127.90479
1/1/2011,1129.13479
2/1/2011,1135.28476
3/1/2011,1138.97474
4/1/2011,1147.5847
5/1/2011,1150.04469
6/1/2011,1150.04469
7/1/2011,1150.04469
8/1/2011,1154.96467
9/1/2011,1162.34464
10/1/2011,1162.34464
11/1/2011,1164.80462
12/1/2011,1168.49461
1/1/2012,1164.80462
2/1/2012,1170.9546
3/1/2012,1173.41458
4/1/2012,1179.56456
5/1/2012,1179.56456
6/1/2012,1175.87457
7/1/2012,1177.10457
8/1/2012,1182.02454
9/1/2012,1185.71453
10/1/2012,1190.63451
11/1/2012,1193.09449
12/1/2012,1196.78448
1/1/2013,1193.09449
2/1/2013,1199.24447
3/1/2013,1202.93445
4/1/2013,1205.39444
5/1/2013,1207.85443
6/1/2013,1205.39444
7/1/2013,1205.39444
8/1/2013,1210.31441
9/1/2013,1214.0044
10/1/2013,1215.23439
11/1/2013,1215.23439
12/1/2013,1220.15437
1/1/2014,1214.0044
2/1/2014,1218.92437
3/1/2014,1221.38436
4/1/2014,1225.07435
5/1/2014,1225.07435
6/1/2014,1227.53433
7/1/2014,1225.07435
8/1/2014,1228.76433
9/1/2014,1229.99432
10/1/2014,1231.22432
11/1/2014,1228.76433
12/1/2014,1228.76433
1/1/2015,1220.15437
2/1/2015,1223.84435
3/1/2015,1225.07435
4/1/2015,1228.76433
5/1/2015,1231.22432
6/1/2015,1231.22432
7/1/2015,1229.99432
8/1/2015,1233.68431
9/1/2015,1232.45431
10/1/2015,1233.68431
11/1/2015,1233.68431
12/1/2015,1234.9143
1/1/2016,1228.76433
2/1/2016,1231.22432
3/1/2016,1234.9143
4/1/2016,1237.37429
5/1/2016,1239.83428
6/1/2016,1242.29427
7/1/2016,1241.06427
8/1/2016,1244.75426
9/1/2016,1248.44424
10/1/2016,1249.67423
11/1/2016,1252.13422
12/1/2016,1257.0542
1/1/2017,1252.13422
2/1/2017,1259.51419
3/1/2017,1263.20417
4/1/2017,1269.35414
5/1/2017,1273.04412
6/1/2017,1273.04412
7/1/2017,1273.04412
8/1/2017,1279.1941
9/1/2017,1282.88408
10/1/2017,1284.11407
11/1/2017,1287.80406
12/1/2017,1291.49404
1/1/2018,1285.34407
2/1/2018,1290.26405
3/1/2018,1292.72403
4/1/2018,1297.64401
5/1/2018,1302.56399
6/1/2018,1302.56399
7/1/2018,1302.56399
8/1/2018,1309.94395
9/1/2018,1311.17395
10/1/2018,1312.40394
11/1/2018,1314.86393
12/1/2018,1317.32392
1/1/2019,1308.71396
2/1/2019,1313.63394
3/1/2019,1316.09393
4/1/2019,1323.47389
5/1/2019,1327.16387
6/1/2019,1327.16387
7/1/2019,1328.39387
8/1/2019,1332.08385
9/1/2019,1333.31385
10/1/2019,1332.08385
11/1/2019,1334.54384
12/1/2019,1334.54384
1/1/2020,1332.08385
2/1/2020,1335.77384
3/1/2020,1335.77384
4/1/2020,1335.77384
5/1/2020,1335.77384
6/1/2020,1338.23382
7/1/2020,1343.1538
8/1/2020,1338.23382
9/1/2020,1343.1538
10/1/2020,1343.1538
11/1/2020,1341.92381
12/1/2020,1345.61379
1/1/2021,1344.3838
2/1/2021,1345.61379
3/1/2021,1349.30377
4/1/2021,1357.91373
5/1/2021,1365.2937
6/1/2021,1370.21368
7/1/2021,1370.21368
8/1/2021,1378.82364
9/1/2021,1382.51362
10/1/2021,1394.81356
11/1/2021,1403.42352
12/1/2021,1410.80349
1/1/2022,1409.57349
2/1/2022,1419.41345
